6/1/20_DISCRETE,5/31/20_DISCRETE,UID,Key,6/2/20,6/3/20
4.0,4.0,84008014.0,"Broomfield, Colorado, US",27.0,27.0
3.0,3.0,84008015.0,"Chaffee, Colorado, US",20.0,20.0
0.0,0.0,84008017.0,"Cheyenne, Colorado, US",0.0,0.0
0.0,0.0,84008019.0,"Clear Creek, Colorado, US",1.0,1.0
0.0,0.0,84008021.0,"Conejos, Colorado, US",0.0,0.0
0.0,0.0,84008023.0,"Costilla, Colorado, US",0.0,0.0
0.0,0.0,84008025.0,"Crowley, Colorado, US",1.0,1.0
0.0,0.0,84008027.0,"Custer, Colorado, US",0.0,0.0
0.0,0.0,84008029.0,"Delta, Colorado, US",1.0,1.0
60.0,60.0,84008031.0,"Denver, Colorado, US",332.0,334.0
0.0,0.0,84008033.0,"Dolores, Colorado, US",0.0,0.0
8.0,8.0,84008035.0,"Douglas, Colorado, US",45.0,46.0
1.0,1.0,84008037.0,"Eagle, Colorado, US",8.0,8.0
0.0,0.0,84008039.0,"Elbert, Colorado, US",2.0,2.0
16.0,16.0,84008041.0,"El Paso, Colorado, US",95.0,96.0
0.0,0.0,84008043.0,"Fremont, Colorado, US",0.0,0.0
0.0,0.0,84008045.0,"Garfield, Colorado, US",2.0,2.0
0.0,0.0,84008047.0,"Gilpin, Colorado, US",0.0,0.0
0.0,0.0,84008049.0,"Grand, Colorado, US",0.0,0.0
1.0,1.0,84008051.0,"Gunnison, Colorado, US",6.0,6.0
0.0,0.0,84008053.0,"Hinsdale, Colorado, US",0.0,0.0
0.0,0.0,84008055.0,"Huerfano, Colorado, US",0.0,0.0
0.0,0.0,84008057.0,"Jackson, Colorado, US",0.0,0.0
31.0,31.0,84008059.0,"Jefferson, Colorado, US",172.0,172.0
0.0,0.0,84008061.0,"Kiowa, Colorado, US",0.0,0.0
0.0,0.0,84008063.0,"Kit Carson, Colorado, US",3.0,3.0
0.0,0.0,84008065.0,"Lake, Colorado, US",0.0,0.0
0.0,0.0,84008067.0,"La Plata, Colorado, US",1.0,1.0
5.0,5.0,84008069.0,"Larimer, Colorado, US",28.0,28.0
0.0,0.0,84008071.0,"Las Animas, Colorado, US",0.0,0.0
0.0,0.0,84008073.0,"Lincoln, Colorado, US",0.0,0.0
0.0,0.0,84008075.0,"Logan, Colorado, US",4.0,4.0
0.0,0.0,84008077.0,"Mesa, Colorado, US",0.0,0.0
0.0,0.0,84008079.0,"Mineral, Colorado, US",0.0,0.0
0.0,0.0,84008081.0,"Moffat, Colorado, US",0.0,0.0
0.0,0.0,84008083.0,"Montezuma, Colorado, US",3.0,3.0
2.0,2.0,84008085.0,"Montrose, Colorado, US",12.0,12.0
7.0,7.0,84008087.0,"Morgan, Colorado, US",43.0,45.0
0.0,0.0,84008089.0,"Otero, Colorado, US",1.0,1.0
0.0,0.0,84008091.0,"Ouray, Colorado, US",1.0,1.0
0.0,0.0,84008093.0,"Park, Colorado, US",0.0,0.0
0.0,0.0,84008095.0,"Phillips, Colorado, US",0.0,0.0
0.0,0.0,84008097.0,"Pitkin, Colorado, US",2.0,2.0
0.0,0.0,84008099.0,"Prowers, Colorado, US",0.0,0.0
3.0,3.0,84008101.0,"Pueblo, Colorado, US",18.0,18.0
0.0,0.0,84008103.0,"Rio Blanco, Colorado, US",0.0,0.0
0.0,0.0,84008105.0,"Rio Grande, Colorado, US",0.0,0.0
1.0,1.0,84008107.0,"Routt, Colorado, US",6.0,6.0
0.0,0.0,84008109.0,"Saguache, Colorado, US",1.0,1.0
0.0,0.0,84008111.0,"San Juan, Colorado, US",0.0,0.0
0.0,0.0,84008113.0,"San Miguel, Colorado, US",0.0,0.0
0.0,0.0,84008115.0,"Sedgwick, Colorado, US",0.0,0.0
0.0,0.0,84008117.0,"Summit, Colorado, US",2.0,2.0
0.0,0.0,84008119.0,"Teller, Colorado, US",2.0,2.0
0.0,0.0,84008121.0,"Washington, Colorado, US",0.0,0.0
24.0,24.0,84008123.0,"Weld, Colorado, US",132.0,133.0
0.0,0.0,84008125.0,"Yuma, Colorado, US",0.0,0.0
238.0,236.0,84009001.0,"Fairfield, Connecticut, US",1287.0,1289.0
233.0,231.0,84009003.0,"Hartford, Connecticut, US",1253.0,1259.0
25.0,24.0,84009005.0,"Litchfield, Connecticut, US",133.0,133.0
28.0,28.0,84009007.0,"Middlesex, Connecticut, US",150.0,152.0
180.0,180.0,84009009.0,"New Haven, Connecticut, US",985.0,990.0
16.0,16.0,84009011.0,"New London, Connecticut, US",90.0,92.0
10.0,10.0,84009013.0,"Tolland, Connecticut, US",60.0,60.0
2.0,2.0,84009015.0,"Windham, Connecticut, US",14.0,14.0
11.0,11.0,84010001.0,"Kent, Delaware, US",66.0,66.0
31.0,31.0,84010003.0,"New Castle, Delaware, US",172.0,173.0
24.0,24.0,84010005.0,"Sussex, Delaware, US",135.0,136.0
86.0,86.0,84011001.0,"District of Columbia,District of Columbia,US",470.0,473.0
1.0,1.0,84012001.0,"Alachua, Florida, US",7.0,8.0
0.0,0.0,84012003.0,"Baker, Florida, US",3.0,4.0
0.0,0.0,84012005.0,"Bay, Florida, US",3.0,3.0
0.0,0.0,84012007.0,"Bradford, Florida, US",2.0,2.0
2.0,2.0,84012009.0,"Brevard, Florida, US",13.0,13.0
58.0,58.0,84012011.0,"Broward, Florida, US",317.0,318.0
0.0,0.0,84012013.0,"Calhoun, Florida, US",4.0,4.0
11.0,11.0,84012015.0,"Charlotte, Florida, US",65.0,68.0
2.0,2.0,84012017.0,"Citrus, Florida, US",12.0,12.0
5.0,5.0,84012019.0,"Clay, Florida, US",30.0,33.0
9.0,9.0,84012021.0,"Collier, Florida, US",49.0,49.0
0.0,0.0,84012023.0,"Columbia, Florida, US",2.0,2.0
1.0,1.0,84012027.0,"DeSoto,Florida,US",7.0,7.0
0.0,0.0,84012029.0,"Dixie, Florida, US",2.0,2.0
9.0,9.0,84012031.0,"Duval, Florida, US",51.0,51.0
6.0,6.0,84012033.0,"Escambia, Florida, US",34.0,35.0
0.0,0.0,84012035.0,"Flagler, Florida, US",4.0,4.0
0.0,0.0,84012037.0,"Franklin, Florida, US",0.0,0.0
0.0,0.0,84012039.0,"Gadsden, Florida, US",3.0,3.0
0.0,0.0,84012041.0,"Gilchrist, Florida, US",0.0,0.0
0.0,0.0,84012043.0,"Glades, Florida, US",1.0,1.0
0.0,0.0,84012045.0,"Gulf, Florida, US",0.0,0.0
0.0,0.0,84012047.0,"Hamilton, Florida, US",0.0,0.0
0.0,0.0,84012049.0,"Hardee, Florida, US",0.0,0.0
2.0,2.0,84012051.0,"Hendry, Florida, US",16.0,17.0
0.0,0.0,84012053.0,"Hernando, Florida, US",5.0,5.0
1.0,1.0,84012055.0,"Highlands, Florida, US",9.0,9.0
14.0,15.0,84012057.0,"Hillsborough, Florida, US",81.0,84.0
0.0,0.0,84012059.0,"Holmes, Florida, US",0.0,0.0
1.0,1.0,84012061.0,"Indian River, Florida, US",10.0,10.0
0.0,0.0,84012063.0,"Jackson, Florida, US",1.0,1.0
0.0,0.0,84012065.0,"Jefferson, Florida, US",3.0,3.0
0.0,0.0,84012067.0,"Lafayette, Florida, US",0.0,0.0
2.0,2.0,84012069.0,"Lake, Florida, US",15.0,15.0
19.0,19.0,84012071.0,"Lee, Florida, US",112.0,113.0
1.0,1.0,84012073.0,"Leon, Florida, US",7.0,7.0
0.0,0.0,84012075.0,"Levy, Florida, US",1.0,1.0
0.0,0.0,84012077.0,"Liberty, Florida, US",1.0,1.0
0.0,0.0,84012079.0,"Madison, Florida, US",4.0,4.0
17.0,17.0,84012081.0,"Manatee, Florida, US",98.0,98.0
1.0,1.0,84012083.0,"Marion, Florida, US",7.0,7.0
1.0,1.0,84012085.0,"Martin, Florida, US",10.0,10.0
129.0,129.0,84012086.0,"Miami-Dade, Florida, US",722.0,731.0
0.0,0.0,84012087.0,"Monroe, Florida, US",4.0,4.0
0.0,0.0,84012089.0,"Nassau, Florida, US",1.0,1.0
1.0,1.0,84012091.0,"Okaloosa, Florida, US",6.0,6.0
0.0,0.0,84012093.0,"Okeechobee, Florida, US",0.0,0.0
7.0,7.0,84012095.0,"Orange, Florida, US",41.0,41.0
