UID,City,State,Country,Key,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20
84006019,Fresno,California,US,"Fresno, California, US",35,35,36,37,37,40
84006021,Glenn,California,US,"Glenn, California, US",0,0,0,0,0,0
84006023,Humboldt,California,US,"Humboldt, California, US",3,3,3,4,4,4
84006025,Imperial,California,US,"Imperial, California, US",27,29,29,29,30,33
84006027,Inyo,California,US,"Inyo, California, US",1,1,1,1,1,1
84006029,Kern,California,US,"Kern, California, US",38,38,39,40,45,45
84006031,Kings,California,US,"Kings, California, US",4,5,5,6,6,6
84006033,Lake,California,US,"Lake, California, US",0,0,0,0,0,0
84006035,Lassen,California,US,"Lassen, California, US",0,0,0,0,0,0
84006037,Los Angeles,California,US,"Los Angeles, California, US",2362,2386,2448,2489,2532,2569
84006039,Madera,California,US,"Madera, California, US",2,2,3,3,3,3
84006041,Marin,California,US,"Marin, California, US",14,14,15,17,17,17
84006043,Mariposa,California,US,"Mariposa, California, US",1,1,1,1,1,1
84006045,Mendocino,California,US,"Mendocino, California, US",0,0,0,0,0,0
84006047,Merced,California,US,"Merced, California, US",7,7,7,7,7,7
84006049,Modoc,California,US,"Modoc, California, US",0,0,0,0,0,0
84006051,Mono,California,US,"Mono, California, US",1,1,1,1,1,1
84006053,Monterey,California,US,"Monterey, California, US",10,10,10,10,10,10
84006055,Napa,California,US,"Napa, California, US",3,3,3,3,3,3
84006057,Nevada,California,US,"Nevada, California, US",1,1,1,1,1,1
84006059,Orange,California,US,"Orange, California, US",147,147,150,158,165,174
84006061,Placer,California,US,"Placer, California, US",9,9,9,9,9,9
84006063,Plumas,California,US,"Plumas, California, US",0,0,0,0,0,0
84006065,Riverside,California,US,"Riverside, California, US",323,331,342,342,345,355
84006067,Sacramento,California,US,"Sacramento, California, US",56,58,58,58,58,59
84006069,San Benito,California,US,"San Benito, California, US",2,2,2,2,2,2
84006071,San Bernardino,California,US,"San Bernardino, California, US",204,204,208,209,209,217
84006073,San Diego,California,US,"San Diego, California, US",269,269,269,276,283,288
84006075,San Francisco,California,US,"San Francisco, California, US",42,43,43,43,43,43
84006077,San Joaquin,California,US,"San Joaquin, California, US",34,34,35,35,36,36
84006079,San Luis Obispo,California,US,"San Luis Obispo, California, US",1,1,1,1,1,1
84006081,San Mateo,California,US,"San Mateo, California, US",84,84,84,84,84,88
84006083,Santa Barbara,California,US,"Santa Barbara, California, US",12,12,12,14,14,14
84006085,Santa Clara,California,US,"Santa Clara, California, US",141,141,143,144,144,144
84006087,Santa Cruz,California,US,"Santa Cruz, California, US",2,2,2,2,2,2
84006089,Shasta,California,US,"Shasta, California, US",4,4,4,4,4,4
84006091,Sierra,California,US,"Sierra, California, US",0,0,0,0,0,0
84006093,Siskiyou,California,US,"Siskiyou, California, US",0,0,0,0,0,0
84006095,Solano,California,US,"Solano, California, US",22,22,22,22,22,22
84006097,Sonoma,California,US,"Sonoma, California, US",4,4,4,4,4,4
84006099,Stanislaus,California,US,"Stanislaus, California, US",29,29,29,30,30,31
84006101,Sutter,California,US,"Sutter, California, US",2,2,2,2,2,2
84006103,Tehama,California,US,"Tehama, California, US",1,1,1,1,1,1
84006105,Trinity,California,US,"Trinity, California, US",0,0,0,0,0,0
84006107,Tulare,California,US,"Tulare, California, US",84,89,89,90,92,92
84006109,Tuolumne,California,US,"Tuolumne, California, US",0,0,0,0,0,0
84006111,Ventura,California,US,"Ventura, California, US",33,34,34,34,35,35
84006113,Yolo,California,US,"Yolo, California, US",24,24,24,24,24,24
84006115,Yuba,California,US,"Yuba, California, US",1,1,1,1,1,1
84008001,Adams,Colorado,US,"Adams, Colorado, US",120,123,125,127,130,135
84008003,Alamosa,Colorado,US,"Alamosa, Colorado, US",2,2,2,2,2,2
84008005,Arapahoe,Colorado,US,"Arapahoe, Colorado, US",305,307,309,320,325,326
84008007,Archuleta,Colorado,US,"Archuleta, Colorado, US",0,0,0,0,0,0
84008009,Baca,Colorado,US,"Baca, Colorado, US",0,0,0,0,0,0
84008011,Bent,Colorado,US,"Bent, Colorado, US",0,0,0,0,0,0
84008013,Boulder,Colorado,US,"Boulder, Colorado, US",65,66,67,67,67,67
84008014,Broomfield,Colorado,US,"Broomfield, Colorado, US",26,27,27,27,27,27
84008015,Chaffee,Colorado,US,"Chaffee, Colorado, US",20,20,20,20,20,20
84008017,Cheyenne,Colorado,US,"Cheyenne, Colorado, US",0,0,0,0,0,0
84008019,Clear Creek,Colorado,US,"Clear Creek, Colorado, US",1,1,1,1,1,1
84008021,Conejos,Colorado,US,"Conejos, Colorado, US",0,0,0,0,0,0
84008023,Costilla,Colorado,US,"Costilla, Colorado, US",0,0,0,0,0,0
84008025,Crowley,Colorado,US,"Crowley, Colorado, US",1,1,1,1,1,1
84008027,Custer,Colorado,US,"Custer, Colorado, US",0,0,0,0,0,0
84008029,Delta,Colorado,US,"Delta, Colorado, US",1,1,1,1,1,1
84008031,Denver,Colorado,US,"Denver, Colorado, US",327,329,332,334,336,338
84008033,Dolores,Colorado,US,"Dolores, Colorado, US",0,0,0,0,0,0
84008035,Douglas,Colorado,US,"Douglas, Colorado, US",45,45,45,46,47,47
84008037,Eagle,Colorado,US,"Eagle, Colorado, US",8,8,8,8,8,8
84008039,Elbert,Colorado,US,"Elbert, Colorado, US",2,2,2,2,2,2
84008041,El Paso,Colorado,US,"El Paso, Colorado, US",88,89,95,96,96,97
84008043,Fremont,Colorado,US,"Fremont, Colorado, US",0,0,0,0,0,0
84008045,Garfield,Colorado,US,"Garfield, Colorado, US",2,2,2,2,2,2
84008047,Gilpin,Colorado,US,"Gilpin, Colorado, US",0,0,0,0,0,0
84008049,Grand,Colorado,US,"Grand, Colorado, US",0,0,0,0,0,0
84008051,Gunnison,Colorado,US,"Gunnison, Colorado, US",6,6,6,6,6,6
84008053,Hinsdale,Colorado,US,"Hinsdale, Colorado, US",0,0,0,0,0,0
84008055,Huerfano,Colorado,US,"Huerfano, Colorado, US",0,0,0,0,0,0
84008057,Jackson,Colorado,US,"Jackson, Colorado, US",0,0,0,0,0,0
84008059,Jefferson,Colorado,US,"Jefferson, Colorado, US",171,171,172,172,177,179
84008061,Kiowa,Colorado,US,"Kiowa, Colorado, US",0,0,0,0,0,0
84008063,Kit Carson,Colorado,US,"Kit Carson, Colorado, US",3,3,3,3,3,3
84008065,Lake,Colorado,US,"Lake, Colorado, US",0,0,0,0,0,0
84008067,La Plata,Colorado,US,"La Plata, Colorado, US",1,1,1,1,1,1
84008069,Larimer,Colorado,US,"Larimer, Colorado, US",27,28,28,28,28,28
84008071,Las Animas,Colorado,US,"Las Animas, Colorado, US",0,0,0,0,0,0
84008073,Lincoln,Colorado,US,"Lincoln, Colorado, US",0,0,0,0,0,0
84008075,Logan,Colorado,US,"Logan, Colorado, US",3,3,4,4,4,5
